"","Cov.Eff.Dist","Cov.Val.Dist","Structure"
"499","Dist3","Dist3","Quasi-Clementsian"
"500","Dist3","Dist4","Nested"
"501","Dist3","Dist5","Random"
"502","Dist3","Dist6","Gleasonian"
"503","Dist3","Dist7","Nested"
"504","Dist3","Dist8","Clementsian"
"505","Dist4","Dist1","Clementsian"
"506","Dist4","Dist2","Clementsian"
"507","Dist4","Dist3","Random"
"508","Dist4","Dist4","Random"
"509","Dist4","Dist5","Random"
"510","Dist4","Dist6","Clementsian"
"511","Dist4","Dist7","Quasi-Nested"
"512","Dist4","Dist8","Quasi-Nested"
"513","Dist1","Dist1","Random"
"514","Dist1","Dist2","Clementsian"
"515","Dist1","Dist3","Random"
"516","Dist1","Dist4","Nested"
"517","Dist1","Dist5","Random"
"518","Dist1","Dist6","Random"
"519","Dist1","Dist7","Random"
"520","Dist1","Dist8","Quasi-Nested"
"521","Dist2","Dist1","Random"
"522","Dist2","Dist2","Clementsian"
"523","Dist2","Dist3","Quasi-Clementsian"
"524","Dist2","Dist4","Quasi-Clementsian"
"525","Dist2","Dist5","Random"
"526","Dist2","Dist6","Gleasonian"
"527","Dist2","Dist7","Quasi-Nested"
"528","Dist2","Dist8","Quasi-Clementsian"
"529","Dist3","Dist1","Random"
"530","Dist3","Dist2","Clementsian"
"531","Dist3","Dist3","Random"
"532","Dist3","Dist4","Quasi-Nested"
"533","Dist3","Dist5","Random"
"534","Dist3","Dist6","Gleasonian"
"535","Dist3","Dist7","Random"
"536","Dist3","Dist8","Nested"
"537","Dist4","Dist1","Gleasonian"
"538","Dist4","Dist2","Clementsian"
"539","Dist4","Dist3","Quasi-Nested"
"540","Dist4","Dist4","Quasi-Nested"
"541","Dist4","Dist5","Random"
"542","Dist4","Dist6","Clementsian"
"543","Dist4","Dist7","Quasi-Nested"
"544","Dist4","Dist8","Quasi-Nested"
"545","Dist1","Dist1","Random"
"546","Dist1","Dist2","Gleasonian"
"547","Dist1","Dist3","Quasi-Nested"
"548","Dist1","Dist4","Quasi-Nested"
"549","Dist1","Dist5","Random"
"550","Dist1","Dist6","Clementsian"
"551","Dist1","Dist7","Random"
"552","Dist1","Dist8","Quasi-Clementsian"
"553","Dist2","Dist1","Random"
"554","Dist2","Dist2","Clementsian"
"555","Dist2","Dist3","Quasi-Clementsian"
"556","Dist2","Dist4","Quasi-Nested"
"557","Dist2","Dist5","Random"
"558","Dist2","Dist6","Gleasonian"
"559","Dist2","Dist7","Quasi-Nested"
"560","Dist2","Dist8","Quasi-Nested"
"561","Dist3","Dist1","Random"
"562","Dist3","Dist2","Gleasonian"
"563","Dist3","Dist3","Random"
"564","Dist3","Dist4","Quasi-Nested"
"565","Dist3","Dist5","Random"
"566","Dist3","Dist6","Clementsian"
"567","Dist3","Dist7","Clementsian"
"568","Dist3","Dist8","Nested"
"569","Dist4","Dist1","Clementsian"
"570","Dist4","Dist2","Clementsian"
"571","Dist4","Dist3","Quasi-Nested"
"572","Dist4","Dist4","Random"
"573","Dist4","Dist5","Random"
"574","Dist4","Dist6","Clementsian"
"575","Dist4","Dist7","Quasi-Nested"
"576","Dist4","Dist8","Quasi-Nested"
"577","Dist1","Dist1","Random"
"578","Dist1","Dist2","Gleasonian"
"579","Dist1","Dist3","Quasi-Nested"
"580","Dist1","Dist4","Random"
"581","Dist1","Dist5","Checkerboard"
"582","Dist1","Dist6","Clementsian"
"583","Dist1","Dist7","Random"
"584","Dist1","Dist8","Nested"
"585","Dist2","Dist1","Clementsian"
"586","Dist2","Dist2","Clementsian"
"587","Dist2","Dist3","Quasi-Nested"
"588","Dist2","Dist4","Quasi-Nested"
"589","Dist2","Dist5","Random"
"590","Dist2","Dist6","Gleasonian"
"591","Dist2","Dist7","Quasi-Nested"
"592","Dist2","Dist8","Quasi-Nested"
"593","Dist3","Dist1","Random"
"594","Dist3","Dist2","Gleasonian"
"595","Dist3","Dist3","Nested"
"596","Dist3","Dist4","Quasi-Nested"
"597","Dist3","Dist5","Random"
"598","Dist3","Dist6","Random"
"599","Dist3","Dist7","Quasi-Nested"
"600","Dist3","Dist8","Quasi-Clementsian"
"601","Dist4","Dist1","Gleasonian"
"602","Dist4","Dist2","Clementsian"
"603","Dist4","Dist3","Quasi-Nested"
"604","Dist4","Dist4","Random"
"605","Dist4","Dist5","Random"
"606","Dist4","Dist6","Clementsian"
"607","Dist4","Dist7","Nested"
"608","Dist4","Dist8","Quasi-Nested"
"609","Dist1","Dist1","Random"
"610","Dist1","Dist2","Gleasonian"
"611","Dist1","Dist3","Quasi-Nested"
"612","Dist1","Dist4","Random"
"613","Dist1","Dist5","Random"
"614","Dist1","Dist6","Random"
"615","Dist1","Dist7","Random"
"616","Dist1","Dist8","Quasi-Nested"
"617","Dist2","Dist1","Random"
"618","Dist2","Dist2","Clementsian"
"619","Dist2","Dist3","Random"
"620","Dist2","Dist4","Quasi-Nested"
"621","Dist2","Dist5","Clementsian"
"622","Dist2","Dist6","Clementsian"
"623","Dist2","Dist7","Quasi-Clementsian"
"624","Dist2","Dist8","Quasi-Clementsian"
"625","Dist3","Dist1","Random"
"626","Dist3","Dist2","Clementsian"
"627","Dist3","Dist3","Quasi-Clementsian"
"628","Dist3","Dist4","Nested"
"629","Dist3","Dist5","Random"
"630","Dist3","Dist6","Random"
"631","Dist3","Dist7","Random"
"632","Dist3","Dist8","Quasi-Nested"
"633","Dist4","Dist1","Clementsian"
"634","Dist4","Dist2","Clementsian"
"635","Dist4","Dist3","Clementsian"
"636","Dist4","Dist4","Quasi-Nested"
"637","Dist4","Dist5","Clementsian"
"638","Dist4","Dist6","Clementsian"
"639","Dist4","Dist7","Quasi-Nested"
"640","Dist4","Dist8","Quasi-Nested"
"641","Dist1","Dist1","Random"
"642","Dist1","Dist2","Gleasonian"
"643","Dist1","Dist3","Random"
"644","Dist1","Dist4","Quasi-Clementsian"
"645","Dist1","Dist5","Random"
"646","Dist1","Dist6","Random"
"647","Dist1","Dist7","Random"
"648","Dist1","Dist8","Quasi-Nested"
"649","Dist2","Dist1","Clementsian"
"650","Dist2","Dist2","Clementsian"
"651","Dist2","Dist3","Random"
"652","Dist2","Dist4","Random"
"653","Dist2","Dist5","Random"
"654","Dist2","Dist6","Clementsian"
"655","Dist2","Dist7","Nested"
"656","Dist2","Dist8","Quasi-Nested"
"657","Dist3","Dist1","Random"
"658","Dist3","Dist2","Clementsian"
"659","Dist3","Dist3","Quasi-Clementsian"
"660","Dist3","Dist4","Quasi-Nested"
"661","Dist3","Dist5","Random"
"662","Dist3","Dist6","Gleasonian"
"663","Dist3","Dist7","Random"
"664","Dist3","Dist8","Nested"
"665","Dist4","Dist1","Gleasonian"
"666","Dist4","Dist2","Clementsian"
"667","Dist4","Dist3","Quasi-Nested"
"668","Dist4","Dist4","Quasi-Nested"
"669","Dist4","Dist5","Clementsian"
"670","Dist4","Dist6","Clementsian"
"671","Dist4","Dist7","Quasi-Nested"
"672","Dist4","Dist8","Quasi-Nested"
"673","Dist1","Dist1","Random"
"674","Dist1","Dist2","Clementsian"
"675","Dist1","Dist3","Random"
"676","Dist1","Dist4","Random"
"677","Dist1","Dist5","Clementsian"
"678","Dist1","Dist6","Random"
"679","Dist1","Dist7","Random"
"680","Dist1","Dist8","Quasi-Nested"
"681","Dist2","Dist1","Random"
"682","Dist2","Dist2","Gleasonian"
"683","Dist2","Dist3","Nested"
"684","Dist2","Dist4","Quasi-Nested"
"685","Dist2","Dist5","Random"
"686","Dist2","Dist6","Gleasonian"
"687","Dist2","Dist7","Quasi-Clementsian"
